1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
2	R	49
3	N	64
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
1	J	73
1	R	73
2	E	73
4	N	74
4	J	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
4	R	109
5	E	109
4	W	115
0	R	115
4	J	204
4	R	204
4	W	204
0	R	204
4	J	213
4	R	213
4	W	213
0	R	213
4	J	223
4	R	223
4	W	223
0	R	223
4	J	228
4	R	228
4	W	228
0	R	228
4	J	237
4	R	237
4	W	238
0	R	238
4	J	239
4	R	239
4	W	239
0	R	239
4	J	243
4	R	243
4	W	243
0	R	243
4	J	246
4	R	246
4	W	246
0	R	246
4	J	248
4	R	248
4	W	248
0	R	248
4	J	255
4	R	255
4	W	255
0	R	255
4	J	265
4	R	265
4	W	266
0	R	266
4	J	273
4	R	273
4	W	273
0	R	273
4	J	286
4	R	286
4	W	286
0	R	286
4	J	296
4	R	296
4	W	296
0	R	296
4	J	310
4	R	310
4	W	310
0	R	310
4	J	317
4	R	317
4	W	317
0	R	317
4	J	337
4	R	337
4	W	337
0	R	337
4	J	342
4	R	342
4	W	342
0	R	342
4	J	343
4	R	343
4	W	343
0	R	343
4	J	349
4	R	349
4	W	349
0	R	349
4	J	357
4	R	357
4	W	358
0	R	358
4	J	366
4	R	366
4	W	366
0	R	366
4	J	367
4	R	367
4	W	367
0	R	368
4	J	372
4	R	372
4	W	372
0	R	372
4	J	375
4	R	375
4	W	375
0	R	375
4	J	387
4	R	387
4	W	387
0	R	387
4	J	391
4	R	391
4	W	391
0	R	391
4	J	404
4	R	404
4	W	404
0	R	405
4	J	477
4	R	477
4	W	478
0	R	478
4	J	484
4	R	484
4	W	484
0	R	484
4	J	560
4	R	560
6	N	563
6	J	563
6	R	563
7	N	568
7	J	568
7	R	568
6	J	619
6	R	619
7	E	619
8	N	621
8	J	621
8	R	621
6	J	726
6	R	726
8	E	726
9	N	727
9	J	727
9	R	727
6	J	757
6	R	757
9	E	757
10	N	759
10	J	759
10	R	759
6	J	839
6	R	839
10	E	839
4	J	842
4	R	842
6	E	842
11	N	843
11	J	843
4	W	843
11	R	843
4	J	845
4	R	846
11	E	846
4	W	846
0	R	846
4	J	1212
4	R	1212
4	W	1212
0	R	1212
4	J	1223
4	R	1223
4	W	1223
0	R	1223
4	J	1223
4	R	1223
4	W	1223
0	R	1223
4	J	1232
4	R	1232
4	W	1232
0	R	1232
4	J	1239
4	R	1239
4	W	1239
0	R	1239
4	J	1244
4	R	1244
4	W	1244
0	R	1245
4	J	1254
4	R	1254
4	W	1254
0	R	1254
4	J	1296
4	R	1296
4	W	1296
0	R	1296
4	J	1301
4	R	1301
4	W	1301
0	R	1302
4	J	1312
4	R	1312
4	W	1312
0	R	1312
4	J	1357
4	R	1357
4	W	1357
0	R	1357
4	J	1365
4	R	1365
4	W	1365
0	R	1365
4	J	1372
4	R	1372
4	W	1372
0	R	1372
4	J	1383
4	R	1383
4	W	1383
0	R	1383
4	J	1395
4	R	1395
4	W	1396
0	R	1396
4	J	1402
4	R	1402
4	W	1402
0	R	1402
4	J	1425
4	R	1425
12	N	1426
12	J	1426
12	R	1427
13	N	1429
13	J	1429
14	N	1429
14	J	1429
15	N	1430
15	J	1430
16	N	1431
16	J	1431
17	N	1431
17	J	1431
17	R	1431
17	W	1432
16	R	1432
16	J	1447
15	R	1447
15	J	1462
14	R	1462
14	J	1477
13	R	1477
13	J	1492
16	R	1492
16	J	1507
15	R	1507
15	J	1522
14	R	1522
17	J	1537
14	J	1537
17	R	1537
17	W	1537
13	R	1537
13	J	1552
16	R	1552
16	J	1567
15	R	1567
15	J	1582
14	R	1582
14	J	1597
13	R	1597
13	J	1612
16	R	1612
16	J	1627
15	R	1627
